Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
29112412, 99392, 22972, 112197, 15284, 295487, 109664, 4113821
41360865, 231851, 51308, 608514, 44728, 653588, 859577, 11211887
41396461, 268773, 57177, 816627, 127426, 319219, 942364, 8812060
33278041, 227133, 51211, 466423, 38683, 53261, 522941, 10592261
32481122, 251652, 52743, 571559, 39280, 214966, 522143, 7512120
35804463, 233713, 53842, 433570, 39955, 131993, 646199, 10081951
32992392, 275970, 94141, 664260, 53111, 344404, 817359, 8888417
33121794, 213139, 48225, 488756, 39512, 215487, 562778, 8830174
34039430, 226383, 38858, 302223, 30753, 180031, 433469, 11368394
43850770, 214254, 48289, 273608, 36994, 286948, 305976, 10571548
32509140, 117880, 28402, 261810, 23054, 135895, 327483, 10845649
44487825, 249769, 52724, 516828, 40050, 231087, 635460, 8389054
34766020, 281736, 55940, 383448, 47638, 344150, 333492, 9937820
44409596, 215998, 52444, 540445, 48074, 45908, 783805, 9656725
43452411, 118550, 25855, 234384, 19749, 124735, 333005, 7405843
37092634, 365438, 47882, 389471, 36633, 30625, 499114, 6252501
37264678, 316871, 53747, 540197, 33468, 170958, 500811, 11013687
42653398, 164718, 33109, 270222, 18221, 105142, 306602, 4299920
41095542, 97505, 40579, 2957198, 73426, 73471, 850204, 9750823
40847326, 224908, 125970, 369825, 38902, 225655, 609051, 10798507
43458167, 206573, 48130, 333414, 37052, 233522, 566349, 8600704
46113224, 224186, 52649, 362804, 39620, 305746, 599018, 11231258
42882754, 214790, 49933, 248165, 41263, 410477, 296068, 10287946
44197768, 207854, 50720, 297327, 39589, 33260, 490774, 10445212
43865073, 177718, 39954, 295383, 33360, 184942, 465624, 10971303
45577684, 208867, 47200, 331228, 36193, 219192, 532434, 8549992
68330705, 275853, 52879, 402945, 38326, 244042, 722707, 8507031
33889441, 238854, 32855, 212164, 23127, 138227, 353220, 8110509
36423345, 347835, 51080, 299617, 39614, 33109, 452692, 9194372
33766306, 176519, 52395, 279558, 31854, 100110, 456044, 10143719
33410682, 186013, 39517, 364494, 36023, 219918, 521279, 11801851
31452760, 103418, 24238, 140369, 16919, 216455, 365739, 9944265
34110084, 171007, 38703, 342439, 32329, 197745, 1487682, 11191670
30915245, 122029, 27066, 151269, 18784, 97866, 295534, 8645962
35272319, 95244, 23055, 139246, 17874, 96148, 537039, 4593173
39808676, 246968, 39861, 369614, 41614, 190212, 393999, 9099668
44763736, 91310, 22578, 95194, 16407, 130870, 98927, 10634357
34444716, 173131, 32661, 284493, 60276, 22897, 213518, 5095916
38834292, 530233, 51528, 149271, 40607, 101510, 181707, 9964653
33931683, 227048, 52950, 260153, 38061, 34658, 422093, 9096510
34504974, 262994, 137415, 454266, 57244, 335904, 610373, 11919095
42302484, 215357, 46475, 217668, 29500, 24258, 372150, 8740866
34934606, 220633, 52944, 236392, 48928, 519166, 376334, 7981556
35370180, 164796, 43282, 254101, 32037, 200176, 416576, 8019642
35892518, 226147, 51031, 315216, 44165, 41530, 619439, 8829745
45280562, 219651, 52719, 259480, 39374, 34012, 412000, 9872973
44908763, 297717, 62868, 470362, 61794, 430271, 610794, 9793794
43696561, 123029, 28787, 163576, 21254, 153293, 254429, 9593225
45525142, 194873, 26356, 169586, 20049, 159948, 264379, 13349280
41652414, 348944, 32454, 191573, 24524, 141525, 355202, 11478834
43262917, 138375, 32684, 161164, 23778, 20128, 252240, 8121322
48853501, 219767, 115724, 295940, 37244, 225144, 264415, 9506126
45123256, 212260, 55651, 396069, 40131, 34659, 421417, 8480532
45467677, 98659, 24711, 132125, 17284, 12292, 155140, 6566747
