Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 425, 0
tx, check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY, txRelease
87391, 42942, 194304, 43116, 206579, 27974, 432108, 372582, 10131448, 4370
120143, 52775, 334250, 52980, 329563, 37495, 350122, 516853, 9843207, 9542
51223, 25823, 112023, 21191, 134677, 15071, 131721, 297599, 5674786, 2935
62243, 31247, 114504, 26853, 123215, 26548, 164062, 165760, 6851364, 2871
123259, 57487, 198387, 50201, 224412, 40769, 416229, 269606, 7889212, 2859
53202, 26218, 78055, 22067, 89639, 16826, 139468, 109156, 3480196, 1881
107117, 34180, 174172, 34466, 227674, 23454, 120410, 308257, 5211202, 2090
52146, 26422, 90393, 21484, 92551, 17264, 131667, 101764, 11495222, 4349
118102, 55287, 208129, 48336, 292950, 41014, 33989, 525826, 8878391, 9023
142301, 66651, 310934, 52962, 623783, 53621, 268811, 890241, 9528224, 2122
119111, 44703, 162480, 95791, 227993, 30073, 26720, 333542, 6834426, 2739
91194, 46260, 163190, 38154, 228106, 31629, 240095, 200711, 10375094, 5985
117584, 42313, 144001, 34818, 365214, 31141, 212647, 430963, 10086886, 4341
261500, 53329, 172886, 37460, 497668, 33130, 190088, 567563, 9892993, 2483
148344, 32245, 127732, 28154, 273501, 20883, 131534, 308528, 7793457, 2077
71035, 22997, 81069, 19437, 109804, 13746, 80941, 205791, 4745663, 1698
79853, 26906, 93241, 22341, 119646, 16457, 92496, 202418, 6006357, 2317
87722, 30647, 82839, 19636, 73648, 14487, 117338, 91509, 3684088, 7947
70337, 33787, 108448, 28442, 179138, 23402, 225112, 339759, 10727952, 3108
69808, 25908, 88301, 21834, 100982, 15640, 12926, 160818, 3765613, 1798
50897, 25663, 86818, 31388, 106208, 16191, 121560, 91641, 3749446, 1929
47744, 26477, 81788, 21543, 81959, 16479, 142602, 109565, 4419940, 2507
53264, 28625, 182709, 25213, 145050, 20181, 105181, 222541, 6437280, 2444
63205, 35406, 687207, 81111, 282202, 72304, 189057, 174022, 6967849, 2502
65996, 30162, 97534, 25801, 220434, 21543, 117175, 482097, 5382880, 2225
56339, 30088, 132296, 24649, 121648, 17619, 14959, 185041, 4658715, 2763
70357, 35783, 159221, 31462, 195007, 23457, 140819, 286994, 9996191, 2956
74042, 36935, 127616, 32280, 200371, 25221, 146339, 305060, 13654754, 2111
113852, 56505, 209162, 50130, 334135, 40989, 240710, 569718, 14363709, 1967
64981, 33743, 154820, 29037, 194858, 22017, 128117, 408370, 12068479, 2213
108293, 53853, 188331, 46043, 297597, 35201, 205567, 462616, 10657490, 2036
130638, 57127, 228978, 48502, 343852, 41431, 260028, 558030, 13664454, 3564
60897, 30722, 108642, 24611, 140651, 20232, 16805, 218230, 7551788, 2504
51169, 26296, 157290, 93464, 149191, 26911, 182320, 133777, 4365610, 2489
83100, 37360, 132967, 86329, 141903, 21005, 158545, 105425, 7352420, 2051
107763, 62835, 184329, 39020, 338149, 40974, 311543, 301439, 9247273, 3987
62519, 30989, 98340, 21325, 149996, 21076, 190857, 129652, 11909192, 2632
449197, 71900, 107784, 20006, 191976, 23131, 139755, 271575, 18310823, 3050
51085, 26509, 89922, 16976, 109781, 16009, 13205, 157913, 6409639, 2554
52225, 26210, 91534, 18195, 142262, 17458, 92115, 210367, 7469702, 1959
61349, 30748, 110732, 18272, 178488, 17594, 91302, 186030, 10687596, 10076
52667, 28298, 99456, 15519, 224210, 17170, 64331, 237057, 13150189, 2735
58274, 30180, 106310, 17160, 182185, 19620, 16703, 209353, 10069074, 3623
58276, 30093, 106163, 17233, 139449, 18806, 15567, 195171, 8583480, 2944
62710, 86719, 112851, 17078, 288046, 20667, 16141, 250658, 7584202, 2479
149196, 102112, 390629, 58706, 612195, 23639, 121202, 304497, 10937523, 4105
62341, 32276, 115953, 19532, 212157, 22160, 137157, 232833, 10967340, 2995
57612, 29743, 111943, 19096, 96353, 24881, 218426, 169847, 7524128, 2901
103327, 55554, 171524, 34706, 189704, 35651, 280816, 216699, 7386468, 2801
88640, 94782, 195190, 37715, 263216, 31359, 188273, 398117, 9685277, 2125
106868, 53087, 262004, 35433, 309353, 39290, 198007, 477953, 10473950, 3142
121365, 58680, 289176, 38634, 342764, 40428, 225695, 532807, 13523975, 2447
72295, 26694, 98020, 16366, 125825, 16399, 91967, 172012, 6092938, 10320
119523, 78506, 241378, 35834, 361598, 40930, 229935, 521045, 16804249, 2685
86817, 30457, 105954, 17525, 133466, 20784, 10681, 256396, 7538429, 2481
111573, 54023, 189392, 34728, 313469, 37085, 207353, 537059, 10673214, 2018
54419, 27326, 93929, 17131, 157602, 22427, 105600, 183473, 9345019, 3058
169304, 38649, 129877, 25966, 205093, 26365, 80027, 430173, 12587139, 2020
81332, 41240, 146527, 24699, 263502, 27640, 159521, 382935, 8504138, 2101
50609, 26572, 88418, 16170, 133771, 19087, 95304, 225607, 8229667, 2967
56906, 30735, 102103, 19003, 158021, 19012, 115786, 211651, 10430463, 3019
49550, 26697, 85711, 15393, 98325, 15887, 9648, 150922, 5764461, 3193
112088, 86810, 205714, 39065, 358671, 41155, 226566, 503264, 12100793, 2371
84418, 47309, 144305, 26842, 238680, 27684, 156861, 426335, 10381321, 2510
68028, 34431, 118539, 22449, 198770, 22692, 133851, 279537, 12880828, 3710
86554, 44076, 129841, 23487, 153827, 24119, 15751, 236061, 6119085, 2105
113392, 57166, 306821, 38970, 348317, 41726, 239732, 495481, 10150085, 2208
62627, 31866, 121346, 20061, 241461, 20839, 143575, 237445, 12758507, 3820
139684, 28092, 94514, 16536, 130781, 17990, 121872, 173783, 10303730, 28094
65089, 25234, 84498, 16376, 127246, 15750, 89804, 172704, 7980457, 2566
60757, 33738, 116430, 22484, 186868, 22369, 135684, 256902, 12483744, 3902
42715, 24441, 82673, 16438, 119273, 14971, 86636, 158651, 6950956, 4762
116392, 52939, 190296, 36297, 311820, 37205, 314373, 264921, 10430940, 2426
105503, 57618, 275163, 31005, 274713, 32807, 83650, 424255, 7962633, 2717
104526, 149303, 272127, 39551, 345902, 42593, 454317, 789587, 12233389, 3066
104496, 58615, 209417, 38624, 264219, 39926, 25263, 410525, 7827114, 2424
120973, 51639, 180031, 32290, 282430, 34684, 365823, 406708, 12981948, 13114
42847, 24856, 82530, 15420, 117957, 14737, 84407, 244682, 12601190, 2688
105147, 59071, 210174, 40779, 365292, 40333, 238459, 746418, 16243035, 2340
95673, 53916, 190368, 36703, 329176, 36520, 283466, 726954, 14572028, 2315
107066, 58079, 218533, 40122, 362014, 39696, 135136, 597621, 12598649, 4475
80578, 44579, 165530, 31324, 276376, 35718, 189605, 397977, 12173525, 9505
104666, 57903, 229393, 37522, 436565, 52475, 248597, 589122, 8540531, 3027
101173, 42655, 150499, 29551, 315974, 35121, 171197, 358502, 14949215, 2627
62157, 28730, 143394, 19636, 149723, 20968, 14604, 189700, 5155691, 2191
203264, 53799, 143415, 23952, 198884, 27118, 129990, 279333, 12707027, 35402
132522, 36960, 192231, 25757, 222019, 25659, 163757, 321036, 12252160, 44771
78080, 38735, 194408, 25358, 200128, 83997, 31119, 350898, 8137270, 1816
